setor,lpa,lucro_liquido,divida_bruta_ativo,liquidez_corrente,liquidez_geral,rentabilidade_ativo,roe,margem_ebit,caixa_operacional,caixa_investimento,pandemia,variacao_valor_mercado
5,0.7823610550079365,0.09281871393436236,0.00921081487515273,0.04901960784313726,0.07291666666666667,0.9892637951274735,0.02736019418812205,0.45080847187428824,0.05447192575521645,0.8059783045333977,1,-0.3361
5,0.7823466651202494,0.09281783773460223,0.011309878129014067,0.06209150326797386,0.07291666666666667,0.9892254540283248,0.02625665367149404,0.4506566461701965,0.054472354166425804,0.8059819689398512,0,0.1717
5,0.7823164110064724,0.09281634037310534,0.012845013941539522,0.04901960784313726,0.052083333333333336,0.9891850215964954,0.024296917926447746,0.4519851210809989,0.058964970083274934,0.8059766116290075,0,-0.284
3,0.7820425910154144,0.09281524132276299,0.015727309752811804,0.032679738562091505,0.07291666666666667,0.9890574503029642,0.007544031290396654,0.43799817809155084,0.05446985740985709,0.8059896953389148,1,0.1864
3,0.7820157753002052,0.0928150782901461,0.018390300448009024,0.0196078431372549,0.0625,0.9890365369761559,0.025481226192956546,0.44210696120853255,0.054470719833414366,0.8059867761837427,1,-0.751
3,0.7819484109679844,0.09281424357952554,0.029324226949465834,0.013071895424836603,0.04166666666666667,0.9888838696904547,0.0253711480264229,0.4444697487284596,0.05447017215830539,0.8059876536890027,0,-0.1111
3,0.7823399279972784,0.09281737657074905,0.014286161847175663,0.026143790849673207,0.0625,0.9892435789115588,0.025261840435594835,0.4507040917027252,0.05446990365164286,0.8059891599408602,0,2.8283
3,0.7824020640323791,0.09281797384479938,0.0014098186033397037,0.0392156862745098,0.04166666666666667,0.9895168463818549,0.02500486770770556,0.4762772337356714,0.05447002964579359,0.8059860771667772,1,1.9872
3,0.7823180905451911,0.09281667272457239,0.0038535041824618566,0.026143790849673207,0.0625,0.9890985798456874,0.017818374031416062,0.44552303955059586,0.05446971566736302,0.8059874229740865,1,-0.5671
3,0.7823271555709035,0.09281681322309024,0.0016917823240076445,0.016339869281045753,0.07291666666666667,0.989151560273602,0.02294603212161001,0.4466807105442951,0.05446972689925622,0.8059853463059405,0,2.1213
3,0.7823158781754005,0.09281577425565025,0.004981359065133619,0.013071895424836603,0.0625,0.9889305761203268,0.014098681427954408,0.432162377590526,0.05446967927662136,0.8059872758952766,0,-0.4431
9,0.7823936732362754,0.0928187209576023,0.004981359065133619,0.03594771241830066,0.11458333333333334,0.9892714633473033,0.02750289339285843,0.4501916799514157,0.05447095388918759,0.8059873029943107,1,0.126
9,0.7824009656071595,0.09281910379161698,0.0026943199974936555,0.04901960784313726,0.13541666666666669,0.9892637951274735,0.027169928581806876,0.44990700675624373,0.05447057003535022,0.8059817731874783,1,0.1273
9,0.7823960270046029,0.09281898187722784,0.005670603715655253,0.042483660130718956,0.125,0.9892470644660268,0.02663718488412439,0.4497646701586578,0.05447158565171326,0.8059805842939345,0,-0.1693
9,0.7823728014327327,0.09281870406425358,0.005451298599580187,0.04901960784313726,0.125,0.9892156944758143,0.02588563573917945,0.44910992180976234,0.05447140559713522,0.8059932712419058,0,-0.1473
7,0.7823471203545633,0.11553948868192843,0.008458911620038222,0.052287581699346414,0.08333333333333334,0.98926309801658,0.027188955142438395,0.4544997343050178,0.06636728747606037,0.7814740578040106,1,-0.4609
7,0.7823459857175233,0.11317413083889431,0.007957642783295216,0.05882352941176471,0.07291666666666667,0.9892624009056863,0.027160415301491117,0.4539114097016624,0.09107360613899003,0.8059844803954583,1,0.1291
7,0.7823461857447219,0.11272071278120224,0.008866192549891913,0.052287581699346414,0.07291666666666667,0.9892589153512182,0.02721749498338567,0.4536931602520306,0.06837275052231542,0.8059782026864732,0,0.0664
7,0.7823480929005975,0.11486261791239483,0.009148156270559855,0.05555555555555556,0.07291666666666667,0.9892707662364096,0.027531433233805705,0.45410119183177705,0.08888883261836261,0.8059841871400258,0,-0.3341
9,0.7823618947772958,0.09281713487591814,0.0029762837181615963,0.08823529411764706,0.20833333333333334,0.9892310309154737,0.02603784822423159,0.4495179533895088,0.054470123517618235,0.8059873765058704,1,-0.2153
9,0.7823438595663529,0.09281708557836159,0.0032269181365330996,0.08169934640522876,0.19791666666666666,0.9892163915867079,0.025685856852548518,0.4497172246261291,0.05447006983109376,0.8059873860400969,1,-0.2442
9,0.782349948325301,0.0928171022212244,0.0025376734860114666,0.0915032679738562,0.21875000000000003,0.9892254540283248,0.02588563573917945,0.44987853943672657,0.054470145733370084,0.805987385761644,0,0.0427
9,0.78238945369701,0.09281721019992553,0.0018170995331933957,0.0915032679738562,0.22916666666666669,0.9892714633473033,0.027017716096754737,0.45042890761405896,0.05447017402411757,0.8059873912081823,0,0.0338
9,0.7823568423661607,0.09281709163337709,0.0,0.026143790849673207,0.125,0.9892303338045801,0.02597125526202128,0.44879678129507317,0.05447014247190077,0.8059870948229395,1,-0.0909
9,0.7823290644511516,0.09281705111246194,0.0020677339515648985,0.0392156862745098,0.11458333333333334,0.9891940840381123,0.025134086594234512,0.4490719653837394,0.054472127655345516,0.8059873782879687,1,-0.0455
9,0.7823921178523696,0.09281714309378324,0.001096525580375325,0.0392156862745098,0.13541666666666669,0.9892742517908777,0.026989176255807462,0.44915736734229095,0.05447016915967865,0.8059873853272576,0,-0.0238
9,0.782419019786199,0.09281718234300063,0.0,0.04901960784313726,0.17708333333333334,0.9892986506721542,0.027417273870016603,0.4493945950049342,0.054470138892058734,0.8059873875214661,0,-0.0416
9,0.782145548118366,0.09281697383273753,0.01052664557160312,0.02287581699346405,0.04166666666666667,0.9891815360420273,0.025286574964415807,0.43647992105063377,0.0544664931987018,0.8059874229740865,1,0.0774
9,0.7830417148014445,0.09281737438381427,0.007926313480998778,0.03594771241830066,0.052083333333333336,0.9892693720146224,0.02523325302824598,0.4406835952326728,0.05446960379637398,0.8059886344111754,1,-0.1858
9,0.7814452701400509,0.0928166608361251,0.010307340455528054,0.029411764705882356,0.052083333333333336,0.9890999740674746,0.0253284048579642,0.4214776436650724,0.054470064303995355,0.8059877453779662,0,-0.0204
9,0.7820019941159757,0.09281690966980484,0.01052664557160312,0.016339869281045753,0.052083333333333336,0.9891613198261126,0.02529082740071695,0.4439004023381158,0.05447008081865442,0.8059874481573648,0,-0.0991
9,0.782352974598865,0.09281994277494934,0.02092797393402049,0.06209150326797386,0.07291666666666667,0.9892212713629632,0.03290643661220938,0.4493851058984285,0.06407551480932708,0.8059810907217518,1,-0.0871
9,0.782353017708175,0.09282020122825195,0.020144741376609543,0.052287581699346414,0.07291666666666667,0.9892219684738568,0.03253541867989479,0.4494135732179457,0.0660747140575262,0.7875188242498774,1,-0.0344
9,0.7823461460841566,0.09281908618534679,0.023622293931514146,0.06209150326797386,0.08333333333333334,0.9892101175886654,0.02964338146390414,0.4493945950049342,0.06445618121754174,0.7783218041590122,0,2.0778
9,0.7822879795543233,0.08530868459359739,0.02236912183965663,0.04901960784313726,0.0625,0.9891745649330912,0.9999999999999998,0.4493471494724056,0.07874213132118521,0.7339692617873391,0,0.1264
